,feature,fold_1,fold_2,average
433,Amt_shift_10_cnt,128,282,205.0
434,Amt_shift_100_cnt,632,1468,1050.0
435,null,770,1936,1353.0
436,Weekday,426,1264,845.0
437,Hour,1310,2504,1907.0
438,Day,276,1214,745.0
439,Morning,24,20,22.0
440,Noon,124,369,246.5
441,Evening,53,55,54.0
442,Midnight,1,9,5.0
443,uid_Hour_ratio,1666,4231,2948.5
444,TransAmtLog,181,512,346.5
445,TransAmtDemical,81,65,73.0
446,TransactionAmt_mod_1,13,109,61.0
447,TransactionAmt_mod_10,15,9,12.0
448,TransactionAmt_mod_50,21,9,15.0
449,TransactionAmt_mod_100,5,6,5.5
450,TransactionAmt_count_full,942,2516,1729.0
451,card1_sub_-1,562,888,725.0
452,card1_sub_-2,684,1303,993.5
453,card1_sub_-3,661,1196,928.5
454,card1_sub_-4,321,933,627.0
455,card1_sub_-5,7,23,15.0
456,card1_target_cnt,1468,2771,2119.5
457,card1_len,7,9,8.0
458,card1_first,117,252,184.5
459,card1_na,0,0,0.0
460,card2_na,0,0,0.0
461,card5_na,0,0,0.0
462,card_str,1099,2821,1960.0
463,card_count_full,1415,2845,2130.0
464,TransactionAmt_to_std_card_str,1163,2993,2078.0
465,TransactionAmt_to_mean_card_str,724,1754,1239.0
466,TransactionAmt_to_sum_card_str,1232,3459,2345.5
467,card1_count_full,1458,3364,2411.0
468,card2_count_full,840,2354,1597.0
469,card3_count_full,0,5,2.5
470,card4_count_full,26,53,39.5
471,card5_count_full,175,402,288.5
472,card6_count_full,89,138,113.5
473,TransactionAmt_to_mean_card1,660,2070,1365.0
474,TransactionAmt_to_mean_card2,805,2251,1528.0
475,TransactionAmt_to_mean_card3,379,1144,761.5
476,TransactionAmt_to_mean_card4,396,976,686.0
477,TransactionAmt_to_mean_card5,634,1458,1046.0
478,TransactionAmt_to_mean_card6,462,1053,757.5
479,TransactionAmt_to_std_card1,1260,2989,2124.5
480,TransactionAmt_to_std_card2,1075,2775,1925.0
481,TransactionAmt_to_std_card3,548,1297,922.5
482,TransactionAmt_to_std_card4,281,749,515.0
483,TransactionAmt_to_std_card5,723,1565,1144.0
484,TransactionAmt_to_std_card6,454,1070,762.0
485,TransactionAmt_to_sum_card1,1570,3825,2697.5
486,TransactionAmt_to_sum_card2,1439,3990,2714.5
487,TransactionAmt_to_sum_card3,455,1129,792.0
488,TransactionAmt_to_sum_card4,615,1623,1119.0
489,TransactionAmt_to_sum_card5,1121,3095,2108.0
490,TransactionAmt_to_sum_card6,567,1619,1093.0
491,id_02_to_mean_card1,212,805,508.5
492,id_02_to_mean_card4,180,818,499.0
493,id_02_to_std_card1,225,1057,641.0
494,id_02_to_std_card4,155,731,443.0
495,D15_to_mean_card1,582,2065,1323.5
496,D15_to_mean_card4,404,1340,872.0
497,D15_to_std_card1,521,2071,1296.0
498,D15_to_std_card4,309,1096,702.5
499,pca_1,866,2088,1477.0
500,pca_2,777,1900,1338.5
501,pca_3,886,2520,1703.0
502,addr1_count_full,1017,2436,1726.5
503,addr2_count_full,1,3,2.0
504,D15_to_mean_addr1,666,1658,1162.0
505,D15_to_std_addr1,417,1291,854.0
506,dist1_plus_dist2,0,0,0.0
507,dist1_minus_dist2,0,0,0.0
508,dist1_times_dist2,0,0,0.0
509,dist1_divides_dist2,0,0,0.0
510,P_email_suffix,44,74,59.0
511,P_emailCorp,202,506,354.0
512,R_email_suffix,21,42,31.5
513,R_emailCorp,138,282,210.0
514,M1_count_full,1,0,0.5
515,M2_count_full,86,167,126.5
516,M3_count_full,59,80,69.5
517,M4_count_full,158,393,275.5
518,M5_count_full,293,595,444.0
519,M6_count_full,92,328,210.0
520,M7_count_full,8,40,24.0
